target_child,target_age,target_age_days,n_part_av_T,language,total_time_T,total_utt_T,OIRall_tf_T,OIRall_rf_time_T,OIRall_rf_utt_T,OIR_t1_total_T,OIR_t2_total_T,OIR_t3_total_T,OIR_t1_rf_T,OIR_t2_rf_T,OIR_t3_rf_T,OIRtcs_tf_T,OIRtcs_rf_time_T,OIRtcs_rf_utt_T,OIRtcs_t1_total_T,OIRtcs_t2_total_T,OIRtcs_t3_total_T,OIRtcs_t1_rf_T,OIRtcs_t2_rf_T,OIRtcs_t3_rf_T,OIRcds_tf_T,OIRcds_rf_time_T,OIRcds_rf_utt_T,OIRcds_t1_total_T,OIRcds_t2_total_T,OIRcds_t3_total_T,OIRcds_t1_rf_T,OIRcds_t2_rf_T,OIRcds_t3_rf_T,OIRcss_tf_T,OIRcss_rf_time_T,OIRcss_rf_utt_T,OIRcss_t1_total_T,OIRcss_t2_total_T,OIRcss_t3_total_T,OIRcss_t1_rf_T,OIRcss_t2_rf_T,OIRcss_t3_rf_T
447,3;04.00,1215,4,indonesian,2700,1304,73,36.986,17.863,21,27,25,0.288,0.37,0.342,22,122.727,59.273,12,6,4,0.545454545,0.272727273,0.181818182,51,52.941,25.569,9,21,21,0.176,0.412,0.412,0,0,0,0,0,0,0,0,0
564,2;01.00,760,9,indonesian,2700,2769,126,21.429,21.976,34,50,42,0.27,0.397,0.333,20,135,138.45,8,8,4,0.4,0.4,0.2,76,35.526,36.434,17,28,31,0.224,0.368,0.408,30,90,92.3,9,14,7,0.3,0.467,0.233
564,2;04.00,850,10,indonesian,2700,1497,92,29.348,16.272,42,29,21,0.457,0.315,0.228,40,67.5,37.425,25,12,3,0.625,0.3,0.075,43,62.791,34.814,13,13,17,0.302,0.302,0.395,9,300,166.333,4,4,1,0.444,0.444,0.111
564,2;07.00,940,18,indonesian,2700,2447,116,23.276,21.095,37,44,35,0.319,0.379,0.302,51,52.941,47.98,21,19,11,0.411764706,0.37254902,0.215686275,54,50,45.315,10,22,22,0.185,0.407,0.407,11,245.455,222.455,6,3,2,0.545,0.273,0.182
564,2;10.00,1030,12,indonesian,2700,1057,54,50,19.574,9,20,25,0.167,0.37,0.463,12,225,88.083,2,3,7,0.166666667,0.25,0.583333333,41,65.854,25.78,7,17,17,0.171,0.415,0.415,1,2700,1057,0,0,1,0,0,1
564,3;01.00,1125,5,indonesian,2700,2635,85,31.765,31,22,20,43,0.259,0.235,0.506,21,128.571,125.476,11,5,5,0.523809524,0.238095238,0.238095238,62,43.548,42.5,11,14,37,0.177,0.226,0.597,2,1350,1317.5,0,1,1,0,0.5,0.5
564,3;04.00,1215,5,indonesian,2700,1304,25,108,52.16,16,4,5,0.64,0.16,0.2,6,450,217.333,5,1,0,0.833333333,0.166666667,0,16,52.941,25.569,9,3,4,0.562,0.188,0.25,3,900,434.667,2,0,1,0.667,0,0.333
929,2;01.00,760,7,russian,2700,1779,32,84.375,55.594,1,5,26,0.031,0.156,0.812,0,0,0,0,0,0,0,0,0,29,93.103,61.345,1,5,23,0.034,0.172,0.793,3,900,593,0,0,3,0,0,1
929,2;04.00,850,5,russian,2700,1515,30,90,50.5,1,4,25,0.033,0.133,0.833,2,1350,757.5,0,0,2,0,0,1,28,96.429,54.107,1,4,23,0.036,0.143,0.821,0,0,0,0,0,0,0,0,0
929,2;07.00,940,5,russian,2700,1375,45,60,30.556,4,8,33,0.089,0.178,0.733,8,337.5,171.875,0,3,5,0,0.375,0.625,37,72.973,37.162,4,5,28,0.108,0.135,0.757,0,0,0,0,0,0,0,0,0
929,2;10.00,1030,5,russian,2700,1583,48,56.25,32.979,2,10,36,0.042,0.208,0.75,6,450,263.833,0,3,3,0,0.5,0.5,42,64.286,37.69,2,7,33,0.048,0.167,0.786,0,0,0,0,0,0,0,0,0
929,3;01.00,1125,5,russian,2700,1793,41,65.854,43.732,6,6,29,0.146,0.146,0.707,11,245.455,163,2,4,5,0.181818182,0.363636364,0.454545455,29,93.103,61.828,3,2,24,0.103,0.069,0.828,1,2700,1793,1,0,0,1,0,0
929,3;04.00,1215,4,russian,2700,1701,52,51.923,32.712,9,12,31,0.173,0.231,0.596,17,158.824,100.059,5,8,4,0.294117647,0.470588235,0.235294118,34,79.412,50.029,3,4,27,0.088,0.118,0.794,1,2700,1701,1,0,0,1,0,0
949,2;01.00,760,5,russian,2700,1409,10,270,140.9,2,3,5,0.2,0.3,0.5,0,0,0,0,0,0,0,0,0,2,1350,704.5,0,2,0,0,1,0,8,337.5,176.125,2,1,5,0.25,0.125,0.625
949,2;04.00,850,7,russian,2700,1743,67,40.299,26.015,7,7,53,0.104,0.104,0.791,5,540,348.6,1,0,4,0.2,0,0.8,32,84.375,54.469,2,2,28,0.062,0.062,0.875,30,90,58.1,4,5,21,0.133,0.167,0.7
949,2;07.00,940,6,russian,2700,1662,57,47.368,29.158,8,6,43,0.14,0.105,0.754,8,337.5,207.75,0,0,8,0,0,1,37,72.973,44.919,5,6,26,0.135,0.162,0.703,12,225,138.5,3,0,9,0.25,0,0.75
949,2;10.00,1030,7,russian,2700,2017,31,87.097,65.065,1,8,22,0.032,0.258,0.71,7,385.714,288.143,0,2,5,0,0.285714286,0.714285714,1,2700,2017,0,0,1,0,0,1,23,117.391,87.696,1,6,16,0.043,0.261,0.696
949,3;01.00,1125,6,russian,2700,1631,19,142.105,85.842,2,4,13,0.105,0.211,0.684,2,1350,815.5,1,0,1,0.5,0,0.5,3,900,543.667,0,1,2,0,0.333,0.667,14,192.857,116.5,1,3,10,0.071,0.214,0.714
949,3;04.00,1215,6,russian,2700,1677,32,84.375,52.406,0,6,26,0,0.188,0.812,6,450,279.5,0,0,6,0,0,1,18,150,93.167,0,6,12,0,0.333,0.667,8,337.5,209.625,0,0,8,0,0,1
